Conversation,#user_msgs,#assistant_msgs,#linear_msgs_total,#restarts,#msgs_total,#user_lines,#assistant_lines,#total_lines,#user_chars,#assistant_chars,#total_chars
00 - SPECIFICATION,22,22,44,10,64,45,498,543,5025,44818,49843
01 - REGISTER SPECIFICATION,6,6,12,2,16,59,91,150,4927,9961,14888
02 - SHIFT REGISTERS AND MEMORY,5,5,10,5,20,65,269,334,5444,9468,14912
03 - MULTI-CYCLE PLANNING AND ALU,7,7,14,2,18,103,243,346,7284,10148,17432
04 - CONTROL SIGNAL PLANNING,13,13,26,21,68,216,414,630,9205,20364,29569
05 - CONTROL UNIT STATE LOGIC,12,12,24,11,46,216,742,958,9898,21663,31561
06 - ISA TO ALU OPCODE,4,4,8,0,8,72,149,221,4576,5624,10200
07 - CONTROL UNIT OUTPUT LOGIC,11,11,22,6,34,266,518,784,8632,19180,27812
08 - DATAPATH COMPONENTS,12,12,24,0,24,144,516,660,5385,15646,21031
09 - PYTHON ASSEMBLER,3,3,6,4,14,127,218,345,4231,6270,10501
10 - SPEC BRANCH UPDATE (return to conversation 00),1,1,2,1,4,14,15,29,1275,1635,2910
11 - CU BRANCH UPDATE (return to conversation 07),2,2,4,2,8,98,101,199,3743,3969,7712
12 - DATAPATH BRANCH UPDATE (return to conversation 08),1,1,2,0,2,25,20,45,888,726,1614
13 - CU BUG FIXING (return to conversation 11),6,6,12,1,14,190,241,431,5413,8001,13414
14 - MEMORY MAPPED COMPONENTS,7,7,14,0,14,79,516,595,3079,16237,19316
15 - SHIFT REGISTER BUG FIX,2,2,4,0,4,38,85,123,985,2593,3578
16 - DATAPATH BUG FIXING AND SMALL CHANGES (return to conversation 12),6,6,12,0,12,116,128,244,2979,4613,7592
17 - MEMORY MAPPED CONSTANTS (return to conversation 14),4,4,8,0,8,21,101,122,849,4655,5504
18 - ALU OPTIMIZE (return to conversation 03),1,1,2,0,2,2,32,34,98,1368,1466
